,Logistic classify L2,MIC,Corr.,RF,Stability,Logistic classify L1,RFE,Mean
dist_50,0.04,0.41,0.19,0.09,0,0,0.96,0.24
dist_51,0.03,0.41,0.01,0.08,0,0,0.92,0.21
dist_52,0.02,0.38,0.1,0.11,0,0,0.93,0.22
dist_53,0.02,0.34,0.09,0.05,0,0,0.84,0.19
dist_54,0.02,0.26,0.05,0.05,0,0,0.87,0.18
dist_55,0.01,0.27,0,0.08,0,0,0.77,0.16
dist_56,0.02,0.35,0.06,0.14,0,0,0.78,0.19
dist_57,0.02,0.3,0.06,0.03,0,0.03,0.79,0.18
dist_58,0.13,0.21,0.31,0.08,0.26,0.27,0.94,0.31
dist_59,0.02,0.25,0.01,0.03,0,0,0.81,0.16
dist_6,0.03,0.52,0.11,0.26,0.25,0.29,0.99,0.35
dist_60,0.01,0.2,0.02,0.03,0,0,0.75,0.14
dist_61,0.02,0.28,0.05,0.06,0,0,0.77,0.17
dist_62,0.01,0.2,0.01,0.02,0,0,0.75,0.14
dist_63,0.01,0.26,0,0.03,0,0,0.72,0.15
dist_64,0.01,0.26,0.03,0.04,0.02,0.01,0.88,0.18
dist_65,0.04,0.31,0.02,0.04,0,0,0.92,0.19
dist_66,0.02,0.24,0.03,0.04,0,0,0.85,0.17
dist_67,0.06,0.31,0,0.06,0.17,0.79,0.91,0.33
dist_68,0.01,0.29,0.02,0.06,0,0,0.82,0.17
dist_69,0.02,0.21,0,0.13,0,0,0.93,0.18
dist_7,0.03,0.49,0.11,0.06,0.29,0.36,0.87,0.32
dist_70,0.02,0.25,0,0.09,0,0,0.88,0.18
dist_71,0.01,0.26,0.01,0.02,0,0,0.79,0.16
dist_72,0.01,0.29,0.04,0.03,0,0,0.82,0.17
dist_73,0.02,0.22,0.02,0.04,0,0,0.85,0.16
dist_74,0.05,0.23,0.01,0.05,0,0.02,0.93,0.18
dist_75,0.01,0.31,0.06,0.08,0,0,0.8,0.18
dist_76,0.01,0.32,0.04,0.02,0,0,0.7,0.16
dist_77,0.01,0.29,0.01,0.03,0,0.02,0.76,0.16
dist_78,0.01,0.22,0.01,0.08,0,0.13,0.84,0.18
dist_79,0.01,0.26,0.04,0.02,0,0,0.72,0.15
dist_8,0.03,0.48,0.13,0.11,0.09,0.33,0.89,0.29
dist_80,0.02,0.28,0.01,0.03,0,0,0.78,0.16
dist_81,0.01,0.27,0.03,0.08,0,0,0.82,0.17
dist_82,0.01,0.26,0.01,0.02,0,0,0.76,0.15
dist_83,0.01,0.31,0.03,0.02,0,0,0.81,0.17
dist_84,0.02,0.34,0.11,0.04,0,0,0.82,0.19
dist_85,0.01,0.34,0.01,0.19,0,0,0.86,0.2
dist_86,0.01,0.2,0,0.02,0,0,0.72,0.14
dist_87,0.01,0.32,0.04,0.1,0,0,0.75,0.17
dist_88,0.02,0.24,0,0.04,0,0,0.81,0.16
dist_89,0.03,0.18,0.24,0.04,0.1,0.08,0.89,0.22
dist_9,0.03,0.41,0.03,0.25,0.66,0.65,0.94,0.42
dist_90,0.01,0.25,0.03,0.02,0,0,0.72,0.15
